"Category","Posting Date","Location","Description","Payment Method","Amount",,
"Cash Withdrawals from ATM & Branch",11/12/10," ","ATM WITHDRAWAL -  11/12 MACH ID 9870A     10011 WASHINGTON BLVD   CULVER CITY   CA 4792 0002051","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$60.00,,
"Cash Withdrawals from ATM & Branch",11/05/10," ","ATM WITHDRAWAL -  11/05 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 4792 0006847","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$40.00,,
"Cash Withdrawals from ATM & Branch",11/01/10," ","ATM WITHDRAWAL -  10/30 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 4792 0004227","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$100.00,,
"Cash Withdrawals from ATM & Branch",10/21/10," ","ATM WITHDRAWAL -  10/21 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 4792 0000202","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$100.00,,
"Cash Withdrawals from ATM & Branch",10/08/10," ","ATM WITHDRAWAL -  10/08 MACH ID 9902B     10011 WASHINGTON BLVD   CULVER CITY   CA 4792 0007570","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$20.00,,
"Cash Withdrawals from ATM & Branch",09/28/10," ","ATM WITHDRAWAL -  09/28 MACH ID 9902B     10011 WASHINGTON BLVD   CULVER CITY   CA 4792 0003502","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$100.00,,
"Cash Withdrawals from ATM & Branch",09/20/10," ","ATM WITHDRAWAL -  09/18 MACH ID 2118S     CALIFORNIA CENTER       LOS ANGELES   CA 4792 0008861","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$80.00,,
"Cash Withdrawals from ATM & Branch",09/13/10," ","ATM WITHDRAWAL -  09/11 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 4792 0002826","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$60.00,,
"Cash Withdrawals from ATM & Branch",09/13/10," ","ATM WITHDRAWAL -  09/11 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 4792 0002827","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$80.00,,
"Cash Withdrawals from ATM & Branch",09/01/10," ","ATM WITHDRAWAL -  09/01 MACH ID 9930Q     10011 WASHINGTON BLVD   CULVER CITY   CA 4792 0002777","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$40.00,,
"Cash Withdrawals from ATM & Branch",08/27/10," ","ATM WITHDRAWAL -  08/27 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 4792 0005995","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$60.00,,
"Cash Withdrawals from ATM & Branch",08/20/10," ","ATM WITHDRAWAL -  08/20 MACH ID 9902B     10011 WASHINGTON BLVD   CULVER CITY   CA 4792 0000523","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$60.00,,
"Cash Withdrawals from ATM & Branch",08/16/10," ","ATM WITHDRAWAL -  08/13 MACH ID S1CD2273  INDIRA NAGAR   INDIRA NAGBANGALORE    II 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$214.53,,
"Cash Withdrawals from ATM & Branch",08/13/10," ","ATM WITHDRAWAL -  08/12 MACH ID S1CW5028  DOMLUR,AIRPORT DOMLUR,AIRBANGALORE    II 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$214.89,,
"Cash Withdrawals from ATM & Branch",08/10/10," ","ATM WITHDRAWAL -  08/09 MACH ID S1ACCO09  SECOND CD AT THSECOND CD THOPPUMPADY  II 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$222.44,,
"Cash Withdrawals from ATM & Branch",08/09/10," ","ATM WITHDRAWAL -  08/06 MACH ID 1FDMYS01  MYSORE         MYSORE    MYSORE       II 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$87.25,,
"Cash Withdrawals from ATM & Branch",08/09/10," ","ATM WITHDRAWAL -  08/07 MACH ID 00550185  BANERJEE CLUB  BANERJEE CTHRISSUR     II 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$109.06,,
"Cash Withdrawals from ATM & Branch",08/02/10," ","ATM WITHDRAWAL -  07/31 MACH ID 10191A00  G10191A00      G10191A00 PARIS        FR 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$261.34,,
"Cash Withdrawals from ATM & Branch",08/02/10," ","ATM WITHDRAWAL -  08/01 MACH ID 00007466  RICHMONDE ROAD RICHMONDE BANGLORE     II 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$86.14,,
"Cash Withdrawals from ATM & Branch",07/22/10," ","ATM WITHDRAWAL -  07/22 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$80.00,,
"Cash Withdrawals from ATM & Branch",07/15/10," ","ATM WITHDRAWAL -  07/15 MACH ID 9870A     10011 WASHINGTON BLVD   CULVER CITY   CA 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$40.00,,
"Cash Withdrawals from ATM & Branch",07/12/10," ","ATM WITHDRAWAL -  07/12 MACH ID 9902B     10011 WASHINGTON BLVD   CULVER CITY   CA 4792","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$40.00,,
"Cash Withdrawals from ATM & Branch",06/29/10," ","ATM WITHDRAWAL -  06/29 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 4792 0000311","Check Card/ATM Card XXXX-XXXX-XXXX-4792",$40.00,,
"Cash Withdrawals from ATM & Branch",02/08/10," ","ATM WITHDRAWAL -  02/08 MACH ID 9902B     10011 WASHINGTON BLVD   CULVER CITY   CA 6900","Check Card/ATM Card XXXX-XXXX-XXXX-6900",$40.00,,
"Cash Withdrawals from ATM & Branch",02/04/10," ","ATM WITHDRAWAL -  02/04 MACH ID CA037325  11143 VENICE BLCT 7-11   LOS ANGELES, CA 6900","Check Card/ATM Card XXXX-XXXX-XXXX-6900",$42.75,,
"Cash Withdrawals from ATM & Branch",01/19/10," ","ATM WITHDRAWAL -  01/17 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 6900","Check Card/ATM Card XXXX-XXXX-XXXX-6900",$20.00,,
"Cash Withdrawals from ATM & Branch",01/04/10," ","ATM WITHDRAWAL -  01/02 MACH ID 9933K     VENICE CROSSROADS OFFS  LOS ANGELES   CA 6900","Check Card/ATM Card XXXX-XXXX-XXXX-6900",$40.00,,
"Checks Written",12/17/10," ","CHECK # 1544","SQLFusion LLC checking XXXXXX6152",$420.00,,
"Checks Written",12/14/10," ","CHECK # 1543","SQLFusion LLC checking XXXXXX6152",$495.00,,
"Checks Written",12/14/10," ","CHECK # 1545","SQLFusion LLC checking XXXXXX6152",$64.00,,
"Checks Written",12/14/10," ","CHECK # 1546","SQLFusion LLC checking XXXXXX6152",$75.00,,
"Checks Written",12/09/10," ","CHECK # 1542","SQLFusion LLC checking XXXXXX6152",$555.63,,
"Checks Written",12/07/10," ","CHECK # 1541","SQLFusion LLC checking XXXXXX6152",$355.00,,
"Checks Written",11/24/10," ","CHECK # 1540","SQLFusion LLC checking XXXXXX6152",$90.33,,
"Checks Written",11/22/10," ","CHECK # 1538","SQLFusion LLC checking XXXXXX6152",$228.13,,
"Checks Written",11/09/10," ","CHECK # 1536","SQLFusion LLC checking XXXXXX6152",$437.50,,
"Checks Written",10/19/10," ","CHECK # 1535","SQLFusion LLC checking XXXXXX6152",$437.50,,
"Checks Written",10/04/10," ","CHECK # 1533","SQLFusion LLC checking XXXXXX6152",$85.00,,
"Checks Written",10/04/10," ","CHECK # 1534","SQLFusion LLC checking XXXXXX6152",$80.00,,
"Checks Written",09/27/10," ","CHECK # 1528","SQLFusion LLC checking XXXXXX6152",$329.94,,
"Checks Written",09/27/10," ","CHECK # 1529","SQLFusion LLC checking XXXXXX6152",$329.94,,
"Checks Written",09/27/10," ","CHECK # 1530","SQLFusion LLC checking XXXXXX6152",$279.18,,
"Checks Written",09/24/10," ","CHECK # 1524","SQLFusion LLC checking XXXXXX6152",$378.00,,
"Checks Written",09/24/10," ","CHECK # 1525","SQLFusion LLC checking XXXXXX6152",$187.00,,
"Checks Written",09/24/10," ","CHECK # 1526","SQLFusion LLC checking XXXXXX6152",$362.00,,
"Checks Written",09/24/10," ","CHECK # 1527","SQLFusion LLC checking XXXXXX6152",$190.00,,
"Checks Written",09/07/10," ","CHECK # 1523","SQLFusion LLC checking XXXXXX6152",$100.00,,
"Checks Written",07/01/10," ","CHECK # 1522","SQLFusion LLC checking XXXXXX6152","$1,000.00",,
"Checks Written",06/14/10," ","CHECK # 1521","SQLFusion LLC checking XXXXXX6152","$4,799.90",,
"Checks Written",06/07/10," ","CHECK # 1500","SQLFusion LLC checking XXXXXX6152",$202.00,,
"Checks Written",05/13/10," ","CHECK # 1499","SQLFusion LLC checking XXXXXX6152",$202.50,,
"Checks Written",05/05/10," ","CHECK # 1497","SQLFusion LLC checking XXXXXX6152",$172.00,,
"Checks Written",05/04/10," ","CHECK # 1498","SQLFusion LLC checking XXXXXX6152",$445.00,,
"Checks Written",04/13/10," ","CHECK # 1496","SQLFusion LLC checking XXXXXX6152",$445.00,,
"Checks Written",03/08/10," ","CHECK # 1520","SQLFusion LLC checking XXXXXX6152",$350.00,,
"Checks Written",02/22/10," ","CHECK # 1519","SQLFusion LLC checking XXXXXX6152",$152.00,,
"Checks Written",02/18/10," ","CHECK # 1518","SQLFusion LLC checking XXXXXX6152",$55.00,,
"Checks Written",02/16/10," ","CHECK # 1517","SQLFusion LLC checking XXXXXX6152",$50.00,,
"Checks Written",02/08/10," ","CHECK # 1515","SQLFusion LLC checking XXXXXX6152",$350.00,,
"Checks Written",01/12/10," ","CHECK # 1514","SQLFusion LLC checking XXXXXX6152","$1,247.47",,
"Checks Written",01/07/10," ","CHECK # 1513","SQLFusion LLC checking XXXXXX6152",$350.00,,
"Contractors / Business Services",12/09/10,"8667292925,CA","PAYCYCLE 8667292925 CA","BUSINESSLINE? XXXX-XXXX-XXXX-7063",$54.99,,
"Contractors / Business Services",12/06/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","BUSINESS CARD XXXX-XXXX-XXXX-5310",$90.00,,
"Contractors / Business Services",12/04/10,"866-749-7545,WA","Amazon Payments 866-749-7545 WA","BUSINESS CARD XXXX-XXXX-XXXX-5310","$1,501.99",,
"Contractors / Business Services",12/04/10,"CC@GOOGLE.COM,CA","GOOGLE*ADWS7057897360 CC@GOOGLE.COM CA","BUSINESS CARD XXXX-XXXX-XXXX-5310",$23.47,,
"Contractors / Business Services",11/26/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","BUSINESS CARD XXXX-XXXX-XXXX-5310",$60.00,,
"Contractors / Business Services",11/12/10,"PARIS,FR","GANDI PARIS FR","BUSINESS CARD XXXX-XXXX-XXXX-5310",$19.69,,
"Contractors / Business Services",11/11/10,"8667292925,CA","PAYCYCLE 8667292925 CA","BUSINESSLINE? XXXX-XXXX-XXXX-7063",$54.99,,
"Contractors / Business Services",11/10/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","BUSINESS CARD XXXX-XXXX-XXXX-5310",$15.00,,
"Contractors / Business Services",11/03/10,"866-749-7545,WA","Amazon Payments 866-749-7545 WA","BUSINESS CARD XXXX-XXXX-XXXX-5310","$1,433.55",,
"Contractors / Business Services",10/21/10,"866-749-7545,WA","Amazon Payments 866-749-7545 WA","BUSINESS CARD XXXX-XXXX-XXXX-5310","$1,176.86",,
"Contractors / Business Services",10/13/10,"8667292925,CA","PAYCYCLE 8667292925 CA","BUSINESSLINE? XXXX-XXXX-XXXX-7063",$54.99,,
"Contractors / Business Services",09/09/10,"866-7292925,CA","PAYCYCLE 866-7292925 CA","Credit Card XXXX-XXXX-XXXX-8836",$54.99,,
"Contractors / Business Services",09/08/10,"CC@GOOGLE.COM,CA","GOOGLE*ADWS7057897360 CC@GOOGLE.COM CA","Credit Card XXXX-XXXX-XXXX-8836",$30.99,,
"Contractors / Business Services",09/03/10,"866-749-7545,WA","Amazon Payments 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836","$1,086.12",,
"Contractors / Business Services",09/02/10,"DENVER,CO","TRAFFICSWARM.COM LLQPS DENVER CO","BUSINESSLINE? XXXX-XXXX-XXXX-7063",$35.00,,
"Contractors / Business Services",08/26/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$105.00,,
"Contractors / Business Services",08/13/10,"NOIDA,II","INFO EDGE INDIA NOIDA II","BUSINESSLINE? XXXX-XXXX-XXXX-7063",$59.03,,
"Contractors / Business Services",08/09/10,"CC@GOOGLE.COM,CA","GOOGLE*ADWS7057897360 CC@GOOGLE.COM CA","Credit Card XXXX-XXXX-XXXX-8836",$27.67,,
"Contractors / Business Services",08/09/10,"866-7292925,CA","PAYCYCLE 866-7292925 CA","Credit Card XXXX-XXXX-XXXX-8836",$54.99,,
"Contractors / Business Services",08/04/10,"866-749-7545,WA","Amazon Payments 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836",$913.10,,
"Contractors / Business Services",07/10/10,"CC@GOOGLE.COM,CA","GOOGLE*ADWS7057897360 CC@GOOGLE.COM CA","Credit Card XXXX-XXXX-XXXX-8836",$85.05,,
"Contractors / Business Services",07/09/10,"866-7292925,CA","PAYCYCLE 866-7292925 CA","Credit Card XXXX-XXXX-XXXX-8836",$54.99,,
"Contractors / Business Services",07/07/10,"310-828-7878,CA","AMBASSADOR PASSPORT & VIS 310-828-7878 CA","Credit Card XXXX-XXXX-XXXX-8836",$437.00,,
"Contractors / Business Services",07/06/10,"WWW.MOO.COM,RI","MOO INC PRINTING WWW.MOO.COM RI","Credit Card XXXX-XXXX-XXXX-8836",$93.99,,
"Contractors / Business Services",07/03/10,"866-749-7545,WA","Amazon Payments 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836",$748.37,,
"Contractors / Business Services",06/29/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$90.00,,
"Contractors / Business Services",06/23/10,"WWW.MOO.COM,RI","MOO INC PRINTING WWW.MOO.COM RI","Credit Card XXXX-XXXX-XXXX-8836",$34.49,,
"Contractors / Business Services",06/09/10,"WWW.MOO.COM,RI","MOO INC PRINTING WWW.MOO.COM RI","Credit Card XXXX-XXXX-XXXX-8836",$34.49,,
"Contractors / Business Services",06/09/10,"866-7292925,CA","PAYCYCLE 866-7292925 CA","Credit Card XXXX-XXXX-XXXX-8836",$54.99,,
"Contractors / Business Services",06/04/10,"866-749-7545,WA","Amazon Payments 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836",$726.35,,
"Contractors / Business Services",06/03/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$45.00,,
"Contractors / Business Services",05/29/10,"CC@GOOGLE.COM,CA","GOOGLE*ADWS7057897360 CC@GOOGLE.COM CA","Credit Card XXXX-XXXX-XXXX-8836",$22.23,,
"Contractors / Business Services",05/10/10,"866-7292925,CA","PAYCYCLE 866-7292925 CA","Credit Card XXXX-XXXX-XXXX-8836",$54.99,,
"Contractors / Business Services",05/09/10,"866-749-7545,WA","AMZN PMTS 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836",$792.23,,
"Contractors / Business Services",05/03/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$30.00,,
"Contractors / Business Services",04/29/10,"CC@GOOGLE.COM,CA","GOOGLE*ADWS7057897360 CC@GOOGLE.COM CA","Credit Card XXXX-XXXX-XXXX-8836",$0.92,,
"Contractors / Business Services",04/15/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$15.00,,
"Contractors / Business Services",04/12/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$75.00,,
"Contractors / Business Services",04/03/10,"866-749-7545,WA","AMZN PMTS 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836","$1,178.67",,
"Contractors / Business Services",03/31/10,"CC@GOOGLE.COM,CA","GOOGLE*ADWS7057897360 CC@GOOGLE.COM CA","Credit Card XXXX-XXXX-XXXX-8836",$7.87,,
"Contractors / Business Services",03/12/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$60.00,,
"Contractors / Business Services",03/09/10,"310-491-0699,CA","YOGAGLO LLC 310-491-0699 CA","Credit Card XXXX-XXXX-XXXX-8836",$0.10,,
"Contractors / Business Services",03/09/10,"310-491-0699,CA","YOGAGLO LLC 310-491-0699 CA","Credit Card XXXX-XXXX-XXXX-8836",$0.10,,
"Contractors / Business Services",03/07/10,"866-749-7545,WA","AMZN PMTS 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836",$697.62,,
"Contractors / Business Services",03/04/10," ","CHECK CRD PURCHASE 03/03 YOGAGLO LLC             310-491-0699  CA 491987XXXXXX6900 063040010944726                               ?MCC=8999                     121042882DA01","Check Card/ATM Card XXXX-XXXX-XXXX-6900",$18.00,,
"Contractors / Business Services",02/17/10,"310-491-0699,CA","YOGAGLO LLC 310-491-0699 CA","Credit Card XXXX-XXXX-XXXX-8836",$18.00,,
"Contractors / Business Services",02/11/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$60.00,,
"Contractors / Business Services",02/10/10,"CULVER CITY,CA","THE UPS STORE #1327 CULVER CITY CA","Credit Card XXXX-XXXX-XXXX-8836",$10.24,,
"Contractors / Business Services",02/09/10,"866-7292925,CA","PAYCYCLE 866-7292925 CA","Credit Card XXXX-XXXX-XXXX-8836",$54.99,,
"Contractors / Business Services",02/06/10,"866-749-7545,WA","AMZN PMTS 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836",$643.63,,
"Contractors / Business Services",02/05/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$60.00,,
"Contractors / Business Services",02/04/10," ","CHECK CRD PURCHASE 02/03 YOGAGLO LLC             310-491-0699  CA 491987XXXXXX6900 035040010156096                               ?MCC=8999                     121042882DA01","Check Card/ATM Card XXXX-XXXX-XXXX-6900",$18.00,,
"Contractors / Business Services",02/04/10,"310-491-0699,CA","YOGAGLO LLC 310-491-0699 CA","Credit Card XXXX-XXXX-XXXX-8836",$18.00,,
"Contractors / Business Services",01/27/10,"877-856-9598,FL","DIRECTNIC LTD 877-856-9598 FL","Credit Card XXXX-XXXX-XXXX-8836",$15.00,,
"Contractors / Business Services",01/18/10,"310-491-0699,CA","YOGAGLO LLC 310-491-0699 CA","Credit Card XXXX-XXXX-XXXX-8836",$18.00,,
"Contractors / Business Services",01/11/10,"866-7292925,CA","PAYCYCLE 866-7292925 CA","Credit Card XXXX-XXXX-XXXX-8836",$54.99,,
"Contractors / Business Services",01/04/10,"310-491-0699,CA","YOGAGLO LLC 310-491-0699 CA","Credit Card XXXX-XXXX-XXXX-8836",$18.00,,
"Contractors / Business Services",01/02/10,"866-749-7545,WA","AMZN PMTS 866-749-7545 WA","Credit Card XXXX-XXXX-XXXX-8836",$521.70,,
"Payments Made Electronically",12/31/10," ","Payroll          PAYROLL    Dec 31 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",12/27/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",12/23/10," ","Payroll          PAYROLL    Dec 23 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.72,,
"Payments Made Electronically",12/22/10," ","// WIRE   FOR 203120.00 INR AT 44.07","SQLFusion LLC checking XXXXXX6152","$4,609.03",,
"Payments Made Electronically",12/22/10," ","FXOL FGN CUR WR @ 15.0 USD - EXCHANGE RATE: 1.0000","SQLFusion LLC checking XXXXXX6152",$15.00,,
"Payments Made Electronically",12/20/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",12/16/10," ","IRS              USATAXPYMT 121610 227075066002824 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$989.74,,
"Payments Made Electronically",12/16/10," ","Payroll          PAYROLL    Dec 16 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$157.41,,
"Payments Made Electronically",12/16/10," ","Payroll          PAYROLL    Dec 16 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",12/15/10," ","Payroll          Tax        Dec 15 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$17.33,,
"Payments Made Electronically",12/13/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",12/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$84.44,,
"Payments Made Electronically",12/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$2.48,,
"Payments Made Electronically",12/10/10," ","BANKCARD DISCOUNT FEE      -     0226313173","SQLFusion LLC checking XXXXXX6152",$5.50,,
"Payments Made Electronically",12/10/10," ","BANKCARD FEE               -     0226313173","SQLFusion LLC checking XXXXXX6152",$13.68,,
"Payments Made Electronically",12/10/10," ","BANKCARD FEE ADJUSTMENT    -     0226313173","SQLFusion LLC checking XXXXXX6152",$25.00,,
"Payments Made Electronically",12/10/10," ","BANKCARD INTERCHANGE FEE   -     0226313173","SQLFusion LLC checking XXXXXX6152",$99.32,,
"Payments Made Electronically",12/09/10," ","Payroll          PAYROLL    Dec 09 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",12/09/10," ","Payroll          PAYROLL    Dec 09 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$298.90,,
"Payments Made Electronically",12/06/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",12/02/10," ","Payroll          PAYROLL    Dec 02 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$652.71,,
"Payments Made Electronically",11/29/10," ","ACS SLS          EXPERTPAY               XXXXX3208 SQLFUSION LLC","SQLFusion LLC checking XXXXXX6152",$147.25,,
"Payments Made Electronically",11/24/10," ","Payroll          PAYROLL    Nov 24 410525          SQLFusion LLC","SQLFusion LLC checking XXXXXX6152",$445.22,,
